month_date,month,room_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2022-10-01,2022-10,entire_home,441,400,397,245.79297052154195,194.7,0.6036621315192743,4489.85260770975,3922.0,144.8339550874113,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2022-10-01,2022-10,hotel_room,4,4,4,418.775,285.1,0.45175,3737.0,2701.5,120.54838709677419,4.7,0.25,40.748163500000004,-73.97429475
2022-10-01,2022-10,private_room,304,273,272,134.36348684210526,84.65,0.5230131578947369,2103.4144736842104,1730.5,67.85207979626485,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2022-10-01,2022-10,shared_room,7,6,5,68.54285714285713,59.9,0.42842857142857144,850.2857142857143,980.0,27.428571428571427,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2022-11-01,2022-11,entire_home,441,400,393,245.6392290249433,192.5,0.5185215419501134,3763.3083900226757,2834.0,125.44361300075586,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2022-11-01,2022-11,hotel_room,4,4,4,390.275,227.3,0.4585,2812.0,2291.5,93.73333333333332,4.7,0.25,40.748163500000004,-73.97429475
2022-11-01,2022-11,private_room,304,273,266,132.35098684210524,80.69999999999999,0.44243421052631576,1567.0756578947369,1203.0,52.235855263157895,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2022-11-01,2022-11,shared_room,7,6,5,74.41428571428571,74.7,0.32857142857142857,504.85714285714283,618.0,16.82857142857143,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2022-12-01,2022-12,entire_home,441,400,393,250.59115646258502,194.7,0.5126802721088436,4083.7301587301586,2795.0,131.73323092677933,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2022-12-01,2022-12,hotel_room,4,4,4,405.275,257.35,0.47575,3580.0,3007.5,115.48387096774192,4.7,0.25,40.748163500000004,-73.97429475
2022-12-01,2022-12,private_room,304,273,265,132.24407894736842,81.35,0.43992434210526316,1814.4605263157894,1180.0,58.53098471986417,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2022-12-01,2022-12,shared_room,7,6,5,81.25714285714287,88.9,0.23957142857142857,418.85714285714283,0.0,13.51152073732719,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-01-01,2023-01,entire_home,441,400,392,230.54943310657598,176.2,0.32691156462585036,2085.6530612244896,619.0,67.2791310072416,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-01-01,2023-01,hotel_room,4,4,4,364.275,176.25,0.31475,1915.5,1325.0,61.79032258064516,4.7,0.25,40.748163500000004,-73.97429475
2023-01-01,2023-01,private_room,304,273,261,124.29407894736842,79.6,0.28524342105263156,856.4309210526316,160.5,27.6268039049236,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-01-01,2023-01,shared_room,7,6,5,82.38571428571429,75.8,0.18885714285714286,238.0,0.0,7.67741935483871,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-02-01,2023-02,entire_home,441,400,390,228.5689342403628,168.2,0.28117233560090704,1514.2448979591836,0.0,54.080174927113696,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-02-01,2023-02,hotel_room,4,4,4,374.875,196.10000000000002,0.1695,1347.0,991.5,48.10714285714286,4.7,0.25,40.748163500000004,-73.97429475
2023-02-01,2023-02,private_room,304,273,261,110.02171052631579,76.45,0.30346052631578946,752.4078947368421,0.0,26.87171052631579,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-02-01,2023-02,shared_room,7,6,5,76.84285714285714,61.0,0.2602857142857143,267.0,0.0,9.535714285714286,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-03-01,2023-03,entire_home,441,400,389,256.19727891156464,183.2,0.3124195011337868,1946.907029478458,0.0,62.80345256382123,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-03-01,2023-03,hotel_room,4,4,4,391.525,229.64999999999998,0.12925,1845.75,705.0,59.54032258064517,4.7,0.25,40.748163500000004,-73.97429475
2023-03-01,2023-03,private_room,304,273,259,118.38453947368421,80.4,0.36629934210526316,1160.3717105263158,70.0,37.4313455008489,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-03-01,2023-03,shared_room,7,6,5,74.97142857142856,60.2,0.25342857142857145,280.2857142857143,0.0,9.04147465437788,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-04-01,2023-04,entire_home,441,400,394,263.1938775510204,187.2,0.38270294784580494,2427.668934240363,0.0,80.92229780801209,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-04-01,2023-04,hotel_room,4,4,4,427.0,301.55,0.04175,398.25,0.0,13.275,4.7,0.25,40.748163500000004,-73.97429475
2023-04-01,2023-04,private_room,304,273,256,118.09309210526317,80.85,0.39944736842105266,1287.7631578947369,389.5,42.92543859649123,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-04-01,2023-04,shared_room,7,6,5,77.51428571428572,64.7,0.32871428571428574,599.7142857142857,387.0,19.990476190476187,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-05-01,2023-05,entire_home,441,400,393,269.66780045351476,194.3,0.4004761904761905,2751.6848072562357,0.0,88.76402604052375,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-05-01,2023-05,hotel_room,4,4,4,435.725,317.95,0.08075,763.75,0.0,24.63709677419355,4.7,0.25,40.748163500000004,-73.97429475
2023-05-01,2023-05,private_room,304,273,255,124.13881578947367,84.69999999999999,0.4212730263157895,1509.328947368421,462.5,48.68803056027165,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-05-01,2023-05,shared_room,7,6,5,85.98571428571428,74.1,0.447,1088.0,831.0,35.09677419354839,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-06-01,2023-06,entire_home,441,400,388,264.70226757369613,195.5,0.3981156462585034,2747.6530612244896,0.0,91.58843537414965,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-06-01,2023-06,hotel_room,4,4,4,423.8,294.5,0.075,672.25,0.0,22.408333333333335,4.7,0.25,40.748163500000004,-73.97429475
2023-06-01,2023-06,private_room,304,273,256,123.55394736842106,86.19999999999999,0.42806907894736845,1351.7861842105262,882.5,45.05953947368421,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-06-01,2023-06,shared_room,7,6,6,84.01428571428572,66.8,0.4477142857142857,1269.7142857142858,765.0,42.32380952380952,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-07-01,2023-07,entire_home,441,400,387,263.95714285714286,199.5,0.36303174603174604,2779.2698412698414,0.0,89.65386584741422,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-07-01,2023-07,hotel_room,4,4,4,407.325,261.9,0.0,0.0,0.0,0.0,4.7,0.25,40.748163500000004,-73.97429475
2023-07-01,2023-07,private_room,304,273,256,124.83717105263158,88.45,0.44463486842105265,1487.9473684210527,1005.0,47.998302207130735,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-07-01,2023-07,shared_room,7,6,6,83.32857142857142,71.0,0.46085714285714285,1526.7142857142858,619.0,49.24884792626728,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-08-01,2023-08,entire_home,441,400,385,257.24467120181407,193.4,0.35331292517006807,2487.8231292517007,0.0,80.25235900811937,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-08-01,2023-08,hotel_room,4,4,4,398.04999999999995,246.25,0.0,0.0,0.0,0.0,4.7,0.25,40.748163500000004,-73.97429475
2023-08-01,2023-08,private_room,304,273,256,123.04177631578946,87.0,0.4144671052631579,1360.9769736842106,63.5,43.90248302207131,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-08-01,2023-08,shared_room,7,6,6,83.05714285714285,72.0,0.3687142857142857,1292.2857142857142,390.0,41.68663594470046,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-09-01,2023-09,entire_home,441,400,382,263.42086167800454,198.2,0.31298412698412703,2323.8117913832198,0.0,77.46039304610733,4.730558510638298,0.28798185941043086,40.726713522199546,-73.94441141517007
2023-09-01,2023-09,hotel_room,4,4,4,430.275,309.5,0.19175,1666.5,0.0,55.55,4.7,0.25,40.748163500000004,-73.97429475
2023-09-01,2023-09,private_room,304,273,254,130.40296052631578,88.75,0.36797368421052634,1448.7236842105262,42.0,48.29078947368421,4.666040816326531,0.24013157894736842,40.730889159440785,-73.93669335049341
2023-09-01,2023-09,shared_room,7,6,6,84.4,83.2,0.37142857142857144,1443.2857142857142,321.0,48.109523809523814,4.682,0.42857142857142855,40.70751428571429,-73.89014714285715
2023-10-01,2023-10,entire_home,413,375,345,252.91694915254237,187.0,0.22064164648910412,1481.7094430992736,0.0,47.79707880965399,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2023-10-01,2023-10,hotel_room,4,4,4,412.775,317.54999999999995,0.121,1210.5,0.0,39.04838709677419,4.7,0.25,40.748163500000004,-73.97429475
2023-10-01,2023-10,private_room,268,241,216,132.06716417910448,86.4,0.20930597014925373,1051.3619402985075,0.0,33.91490129995185,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2023-10-01,2023-10,shared_room,6,5,5,71.28333333333333,59.25,0.11833333333333333,233.66666666666666,106.0,7.537634408602151,4.685,0.5,40.70746333333333,-73.87064666666667
2023-11-01,2023-11,entire_home,413,375,331,250.01549636803873,184.8,0.1376125907990315,892.8595641646489,0.0,29.761985472154965,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2023-11-01,2023-11,hotel_room,4,4,4,413.2,318.25,0.075,775.5,0.0,25.85,4.7,0.25,40.748163500000004,-73.97429475
2023-11-01,2023-11,private_room,268,241,210,128.99029850746268,86.55,0.13394402985074627,602.5597014925373,0.0,20.085323383084578,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2023-11-01,2023-11,shared_room,6,5,5,67.05,59.15,0.0055000000000000005,11.833333333333334,0.0,0.39444444444444443,4.685,0.5,40.70746333333333,-73.87064666666667
2023-12-01,2023-12,entire_home,413,375,313,254.64721549636803,185.3,0.1322493946731235,905.2106537530267,0.0,29.200343669452472,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2023-12-01,2023-12,hotel_room,4,4,4,418.025,328.9,0.15325,1564.75,0.0,50.4758064516129,4.7,0.25,40.748163500000004,-73.97429475
2023-12-01,2023-12,private_room,268,241,203,131.14962686567165,85.85,0.10736940298507462,649.044776119403,0.0,20.936928261916226,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2023-12-01,2023-12,shared_room,6,5,5,65.85,57.5,0.043000000000000003,44.0,0.0,1.4193548387096773,4.685,0.5,40.70746333333333,-73.87064666666667
2024-01-01,2024-01,entire_home,413,375,288,245.3680387409201,185.5,0.07436319612590798,452.81113801452784,0.0,14.606810903694447,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2024-01-01,2024-01,hotel_room,4,4,4,366.975,227.9,0.01625,182.5,0.0,5.887096774193548,4.7,0.25,40.748163500000004,-73.97429475
2024-01-01,2024-01,private_room,268,241,193,120.14813432835821,83.15,0.07028731343283583,236.38432835820896,0.0,7.625300914780935,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2024-01-01,2024-01,shared_room,6,5,5,64.91666666666667,56.45,0.005333333333333333,5.5,0.0,0.17741935483870966,4.685,0.5,40.70746333333333,-73.87064666666667
