month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2022-05-01,2022-05,Boutique & Hotels,28,25,28,289.92857142857144,263.65,0.4101071428571429,3978.9285714285716,2865.0,128.35253456221199,4.5416,0.21428571428571427,40.747065500000005,-73.97671889285714
2022-05-01,2022-05,House,93,84,81,174.24193548387098,91.5,0.5837956989247312,3559.3655913978496,1713.0,114.81824488380158,4.74888888888889,0.27956989247311825,40.710101965698925,-73.9112654944086
2022-05-01,2022-05,Others,13,13,12,158.87692307692308,124.4,0.7344615384615385,3588.5384615384614,3465.0,115.7593052109181,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
2022-06-01,2022-06,Apartment & Condo,574,518,503,192.9088850174216,150.35,0.6491881533101046,3832.808362369338,2824.5,127.76027874564458,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2022-06-01,2022-06,Boutique & Hotels,36,30,35,345.42777777777775,311.7,0.50925,5538.944444444444,2903.0,184.6314814814815,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-06-01,2022-06,House,126,114,113,187.43174603174603,116.7,0.6732619047619048,3960.936507936508,2306.5,132.03121693121693,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-06-01,2022-06,Others,20,20,18,154.19,119.1,0.7583,2815.7,3289.0,93.85666666666667,4.841764705882353,0.4,40.711024416,-73.9074431545
2022-07-01,2022-07,Apartment & Condo,574,518,514,195.7768292682927,150.7,0.6139076655052265,3761.731707317073,2956.0,121.34618410700234,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2022-07-01,2022-07,Boutique & Hotels,36,30,35,325.0055555555556,237.0,0.388,4272.25,1618.5,137.81451612903226,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-07-01,2022-07,House,126,114,114,191.89444444444445,121.9,0.6389920634920635,3819.2619047619046,2252.5,123.20199692780338,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-07-01,2022-07,Others,20,20,18,161.31,133.75,0.73705,2864.4,3051.0,92.4,4.841764705882353,0.4,40.711024416,-73.9074431545
2022-08-01,2022-08,Apartment & Condo,574,518,520,184.57770034843207,149.14999999999998,0.5940017421602788,3359.6010452961673,2583.0,108.3742272676183,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2022-08-01,2022-08,Boutique & Hotels,36,30,34,300.9972222222222,211.65,0.3146111111111111,3104.3611111111113,1341.0,100.14068100358423,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-08-01,2022-08,House,126,114,115,187.9714285714286,117.8,0.6105793650793652,3743.9444444444443,1862.5,120.77240143369175,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-08-01,2022-08,Others,20,20,18,154.0,114.4,0.72255,2884.15,2622.0,93.03709677419354,4.841764705882353,0.4,40.711024416,-73.9074431545
2022-09-01,2022-09,Apartment & Condo,574,518,514,192.6015679442509,151.15,0.6072578397212544,3477.228222996516,2662.0,115.90760743321718,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
