month_date,month,listing_count,host_count,avg_daily_rate_mean,occupancy_mean,revenue_mean,revpar_mean,star_rating_mean
2023-03-01,2023-03,756,675,199.81851851851852,0.3325701058201058,1614.6613756613756,52.08585082778632,4.70489666136725
2023-04-01,2023-04,756,675,203.99391534391535,0.38713227513227516,1941.6309523809523,64.72103174603174,4.70489666136725
2023-05-01,2023-05,756,675,210.3260582010582,0.40757804232804234,2226.190476190476,71.81259600614439,4.70489666136725
2023-06-01,2023-06,756,675,207.11296296296297,0.40891005291005295,2161.686507936508,72.05621693121694,4.70489666136725
2023-07-01,2023-07,756,675,207.10079365079366,0.39483068783068787,2233.7050264550267,72.05500085338795,4.70489666136725
2023-08-01,2023-08,756,675,202.41164021164022,0.37617724867724867,2010.4669312169312,64.85377197473971,4.70489666136725
2023-09-01,2023-09,756,675,209.15740740740742,0.33499603174603176,1960.2936507936508,65.34312169312169,4.70489666136725
2023-10-01,2023-10,691,618,205.39435600578872,0.21478002894356008,1302.39507959479,42.012744503057746,4.714354561101549
2023-11-01,2023-11,691,618,202.4325615050651,0.13468017366136037,771.9392185238785,25.73130728412928,4.714354561101549
2023-12-01,2023-12,691,618,206.05586107091173,0.12194645441389292,802.1982633863965,25.87736333504505,4.714354561101549
2024-01-01,2024-01,691,618,195.93936324167873,0.0718465991316932,363.42257597684517,11.723308902478877,4.714354561101549
2024-02-01,2024-02,691,618,191.54978292329955,0.06944862518089724,322.78437047756876,11.130495533709267,4.714354561101549
2024-03-01,2024-03,691,618,196.14471780028944,0.08188567293777134,460.2127351664255,14.845572102142759,4.714354561101549
2024-04-01,2024-04,691,618,198.58263386396527,0.08504196816208394,499.08538350217077,16.63617945007236,4.714354561101549
2024-05-01,2024-05,333,299,200.1021021021021,0.17097597597597597,1078.2732732732732,34.78300881526688,4.769533333333333
2024-06-01,2024-06,474,426,212.48586497890295,0.1318649789029536,724.704641350211,24.156821378340368,4.7669172932330826
2024-07-01,2024-07,474,426,212.415611814346,0.20954852320675105,1285.571729957806,41.47005580509051,4.7669172932330826
2024-08-01,2024-08,474,426,212.0938818565401,0.21777004219409282,1398.7742616033756,45.12175037430244,4.7669172932330826
2024-09-01,2024-09,474,426,216.23037974683544,0.22841350210970465,1399.1856540084389,46.63952180028129,4.7669172932330826
2024-10-01,2024-10,474,426,214.95822784810127,0.20389873417721519,1284.0928270042193,41.42234925820063,4.7669172932330826
2024-11-01,2024-11,474,426,212.6622362869198,0.19620464135021098,1166.65611814346,38.88853727144867,4.7669172932330826
2024-12-01,2024-12,474,426,215.81160337552743,0.22984177215189872,1589.3270042194092,51.26861303933579,4.7669172932330826
2025-01-01,2025-01,474,426,202.2120253164557,0.17708649789029537,1028.7489451476793,33.18544984347353,4.7669172932330826
2025-02-01,2025-02,474,426,194.14957805907173,0.15958649789029536,809.035864978903,28.89413803496082,4.7669172932330826
2025-03-01,2025-03,474,426,202.55274261603375,0.15095147679324894,922.289029535865,29.751259017285964,4.7669172932330826
2025-04-01,2025-04,474,426,207.04367088607594,0.1708206751054852,1037.9303797468353,34.597679324894514,4.7669172932330826
2025-05-01,2025-05,474,426,212.665611814346,0.17714978902953585,1252.1033755274261,40.39043146862665,4.7669172932330826
2025-06-01,2025-06,474,426,213.13291139240508,0.2129240506329114,1351.5738396624472,45.05246132208157,4.7669172932330826
2025-07-01,2025-07,474,426,209.56877637130802,0.20504430379746835,1367.6603375527427,44.11807540492718,4.7669172932330826
2025-08-01,2025-08,474,426,207.27974683544306,0.18362447257383965,1131.2974683544303,36.49346672111066,4.7669172932330826
