month_date,month,zip_code,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2021-03-01,2021-03,10021,6,6,2,144.28333333333333,147.65,0.258,833.6666666666666,0.0,26.89247311827957,4.76,0.4,40.768480000000004,-73.95851666666667
2021-03-01,2021-03,10022,4,4,3,178.925,153.9,0.75,3079.0,3188.5,99.3225806451613,4.65,0.0,40.7572275,-73.9686025
2021-03-01,2021-03,10023,2,2,2,114.5,114.5,0.9355,3300.5,3300.5,106.46774193548387,4.865,0.0,40.777785,-73.984385
2021-03-01,2021-03,10024,2,2,1,171.25,171.25,0.226,961.0,961.0,31.0,4.925000000000001,0.5,40.78779,-73.971215
2021-03-01,2021-03,10025,8,7,7,90.41250000000001,66.15,0.8065,1799.0,1907.0,58.03225806451613,4.724285714285714,0.2,40.797587838750005,-73.96639263125
2021-03-01,2021-03,10026,7,7,2,98.45714285714287,88.8,0.2857142857142857,1128.0,0.0,36.387096774193544,4.867142857142857,0.3333333333333333,40.802460409999995,-73.95490114714286
2021-03-01,2021-03,10027,3,3,0,276.2,251.7,0.0,0.0,0.0,0.0,4.725,0.3333333333333333,40.80633,-73.94951666666667
2021-03-01,2021-03,10028,2,2,2,257.6,257.6,0.8065,5561.0,5561.0,179.38709677419354,4.835,1.0,40.77715,-73.955625
2021-03-01,2021-03,10029,1,1,1,90.8,90.8,1.0,2816.0,2816.0,90.83870967741936,4.86,0.0,40.78654,-73.94254
2021-03-01,2021-03,10030,4,4,1,142.7,130.5,0.10475,476.5,0.0,15.370967741935484,4.702500000000001,0.0,40.8159575,-73.94166
2021-03-01,2021-03,10031,9,9,4,74.97777777777777,64.5,0.4157777777777778,1130.7777777777778,0.0,36.47670250896058,4.60625,0.0,40.82315737666667,-73.95153314333334
2021-03-01,2021-03,10032,7,7,1,147.07142857142858,73.5,0.08757142857142856,388.2857142857143,0.0,12.525345622119817,4.812,0.5,40.837173421428574,-73.94131428857143
2021-03-01,2021-03,10033,1,1,1,120.0,120.0,1.0,3719.0,3719.0,119.96774193548389,5.0,1.0,40.84946,-73.94053
2021-03-01,2021-03,10034,4,4,2,105.25,36.05,0.5,557.5,509.5,17.983870967741936,4.94,0.0,40.8664,-73.9219825
2021-03-01,2021-03,10035,12,12,6,189.4416666666667,114.95,0.4274166666666666,2478.4166666666665,1156.5,79.9489247311828,4.726666666666667,0.5833333333333334,40.7729486475,-73.95677492916667
2021-03-01,2021-03,10036,18,16,11,195.76666666666665,177.75,0.5806666666666667,3522.277777777778,3533.0,113.62186379928316,4.591875,0.29411764705882354,40.76053888888889,-73.99091166666668
2021-03-01,2021-03,10037,2,2,1,71.5,71.5,0.5,1602.5,1602.5,51.69354838709678,4.8100000000000005,1.0,40.810635000000005,-73.9387
2021-03-01,2021-03,10038,5,4,2,109.74000000000001,95.5,0.3096,1973.6,0.0,63.66451612903226,4.41,0.0,40.706128,-74.00606
2021-03-01,2021-03,10039,2,2,2,42.75,42.75,0.9515,1252.5,1252.5,40.403225806451616,4.234999999999999,0.0,40.819155,-73.94083499999999
2021-03-01,2021-03,10040,8,8,6,120.6375,101.85,0.66125,2800.0,2565.0,90.3225806451613,4.78375,0.5714285714285714,40.83380005375,-73.94358336125
2021-03-01,2021-03,10041,1,1,1,97.2,97.2,0.419,1343.0,1343.0,43.32258064516129,4.63,0.0,40.70447,-74.00565
